Welcome to the TCI,Välkommen till TCI
Instructions for the test,Instruktioner för testet
Start the test,Börja testet
Thank you for completing the test.,Tack för att du avslutat testet.
"<p>Your provider has received your results and will help you interpret them. The professional interpretation of the TCI will help you better understand the interactions between the different aspects of your personality.</p><p><a href=https://anthropedia.org/tci/>Learn more about the TCI</a> and ways to <a href=https://anthropedia.org/learn-more/>improve your personality</a>.</p>","<p> Din leverantör har fått dina resultat och hjälper dig att tolka dem.
     Den professionella tolkningen av TCI hjälper dig att förstå
     Samspelet mellan de olika aspekterna av din personlighet. </ p>
   <p> <a href=https://anthropedia.org/tci/> Läs mer om TCI </a> och
     sätt att <a href=https://anthropedia.org/learn-more/> förbättra din personlighet </a>. </p>"
Definitely False,Definitivt falskt
Mostly or Probably False,Mest eller Förmodligen Falskt
"Neither True nor False, or About the Same",Varken sant eller falskt eller om detsamma
Mostly or Probably True,För det mesta eller sannolikt sant
Definitely True,Definitivt sant
,
"I often try new things just for fun or thrills, even if most people think it is a waste of time.","Jag försöker ofta nya saker bara för skojs skull eller spänning, även om de flesta tycker att det är slöseri med tid."
"I usually am confident that everything will go well, even in situations that worry most people.","Jag är vanligtvis övertygad om att allt kommer att gå bra, även i situationer som oroar sig för de flesta."
I often feel that I am the victim of circumstances.,Jag känner ofta att jag är offer för omständigheter.
"I can usually accept other people as they are, even when they are very different from me.","Jag kan vanligtvis acceptera andra människor som de är, även om de är väldigt olika från mig."
I like a challenge better than easy jobs.,Jag gillar en utmaning bättre än enkla jobb.
Often I feel that my life has little purpose or meaning.,Ofta känner jag att mitt liv har liten mening eller mening.
I like to help find a solution to problems so that everyone comes out ahead.,Jag tycker om att hjälpa till att hitta en lösning på problem så att alla kommer framåt.
I am usually eager to get going on any job I have to do.,Jag är vanligtvis angelägen om att få igång något jobb jag måste göra.
"I often feel tense and worried in unfamiliar situations, even when others feel there is little to worry about.","Jag känner mig ofta spänd och orolig i okända situationer, även när andra känner att det inte finns något att oroa sig för."
I often do things based on how I feel at the moment without thinking about how they were done in the past.,Jag gör ofta saker utifrån hur jag känner just nu utan att tänka på hur de gjordes tidigare.
I usually do things my own way -- rather than giving in to the wishes of other people.,Jag gör vanligtvis saker mitt eget sätt - snarare än att ge in till andra människors önskningar.
I often feel a strong sense of unity with all the things around me.,Jag känner ofta en stark känsla av enhet med alla saker runt mig.
"I would do almost anything legal in order to become rich and famous, even if I would lose the trust of many old friends.","Jag skulle göra nästan vad som helst lagligt för att bli rik och berömd, även om jag skulle förlora förtroende hos många gamla vänner."
I am much more reserved and controlled than most people.,Jag är mycket mer reserverad och kontrollerad än de flesta.
I like to discuss my experiences and feelings openly with friends instead of keeping them to myself.,Jag gillar att diskutera mina erfarenheter och känslor öppet med vänner istället för att hålla dem till mig själv.
I have less energy and get tired more quickly than most people.,Jag har mindre energi och blir tröttare snabbare än de flesta.
I seldom feel free to choose what I want to do.,Jag känner sällan att välja vad jag vill göra.
I don't seem to understand most people very well.,Jag verkar inte förstå de flesta mycket bra.
I often avoid meeting strangers because I lack confidence with people I do not know.,Jag undviker ofta att träffa främlingar eftersom jag saknar förtroende med människor jag inte vet.
I like to please other people as much as I can.,Jag gillar att behaga andra människor så mycket jag kan.
I often wish that I was smarter than everyone else.,Jag önskar ofta att jag var smartare än alla andra.
No job is too hard for me to do my best.,Inget jobb är för svårt för mig att göra mitt bästa.
I often wait for someone else to provide a solution to my problems.,Jag väntar ofta på att någon annan ska lösa mina problem.
I often spend money until I run out of cash or get into debt from using too much credit.,Jag spenderar ofta pengar tills jag går tom för kontanter eller kommer i skuld från att använda för mycket kredit.
Often I have unexpected flashes of insight or understanding while relaxing.,Ofta har jag oväntade blinkar av insikt eller förståelse medan du kopplar av.
I don't care very much whether other people like me or the way I do things.,Jag bryr mig inte mycket om andra tycker om mig eller hur jag gör saker.
I usually try to get just what I want for myself because it is not possible to satisfy everyone anyway.,"Jag brukar försöka få precis vad jag vill för mig själv, eftersom det inte går att tillgodose alla ändå."
I have no patience with people who don't accept my views.,Jag har inget tålamod med människor som inte accepterar mina åsikter.
I sometimes feel so connected to nature that everything seems to be part of one living process.,Jag känner mig ibland så kopplad till naturen att allt verkar vara en del av en levande process.
"When I have to meet a group of strangers, I am more shy than most people.",När jag måste träffa en grupp främlingar är jag mer blyg än de flesta.
I am more sentimental than most people.,Jag är mer sentimental än de flesta.
I think that most things that are called miracles are just chance.,Jag tror att de flesta saker som kallas mirakel är bara chans.
"When someone hurts me in any way, I usually try to get even.",När någon gör ont på något sätt försöker jag vanligtvis att bli jämn.
My actions are determined largely by influences outside my control.,Mina handlingar bestäms till stor del av influenser utanför min kontroll.
Each day I try to take another step toward my goals.,Varje dag försöker jag ta ett steg mot mina mål.
"Please click on ""Mostly or Probably True"", this is a validity question.","Vänligen klicka på ""Mostly eller Probably True"", det här är en giltighetsfråga."
I am a very ambitious person.,Jag är en mycket ambitiös person.
I usually stay calm and secure in situations that most people would find physically dangerous.,Jag brukar vara lugn och säker i situationer som de flesta människor skulle hitta fysiskt farliga.
I do not think it is smart to help weak people who cannot help themselves.,Jag tycker inte att det är smart att hjälpa svaga människor som inte kan hjälpa sig själva.
"I cannot have any peace of mind if I treat other people unfairly, even if they are unfair to me.","Jag kan inte ha någon sinnesro om jag behandlar andra människor orättvist, även om de är orättvisa för mig."
People will usually tell me how they feel.,Människor brukar berätta för mig hur de känner.
Sometimes I have felt like I was part of something with no limits or boundaries in time and space.,Ibland har jag känt att jag var del av något utan gränser eller gränser i tid och rum.
I sometimes feel a spiritual connection to other people that I cannot explain in words.,Ibland känner jag en andlig kontakt med andra människor som jag inte kan förklara i ord.
I like it when people can do whatever they want without strict rules and regulations.,Jag gillar det när människor kan göra vad de vill utan stränga regler och regler.
"When I fail at something, I become even more determined to do a better job.",När jag misslyckas med något blir jag ännu mer bestämd att göra ett bättre jobb.
Usually I am more worried than most people that something might go wrong in the future.,Vanligtvis är jag mer orolig än de flesta att något kan gå fel i framtiden.
I usually think about all the facts in detail before I make a decision.,Jag brukar tänka på alla fakta i detalj innan jag fattar ett beslut.
I have many bad habits that I wish I could break.,Jag har många dåliga vanor som jag önskar att jag kunde bryta.
Other people control me too much.,Andra människor kontrollerar mig för mycket.
I like to be of service to others.,Jag gillar att vara till tjänst för andra.
"I am usually able to get other people to believe me, even when I know that what I am saying is exaggerated or untrue.","Jag brukar kunna få andra att tro på mig, även när jag vet att det jag säger är överdriven eller osannolikt."
Sometimes I have felt my life was being directed by a spiritual force greater than any human being.,Ibland har jag känt att mitt liv styrdes av en andlig kraft som är större än någon människa.
I have a reputation as someone who is very practical and does not act on emotion.,Jag har ett rykte som någon som är väldigt praktisk och inte handlar om känslor.
I am strongly moved by sentimental appeals (like when asked to help crippled children).,Jag är starkt förflyttad av sentimentala överklaganden (som när man bad om att hjälpa barn med krämpling).
I am usually so determined that I continued to work long after other people have given up.,Jag är vanligtvis så bestämd att jag fortsatte att arbeta länge efter att andra har gett upp.
"I have had moments of great joy in which I suddenly had a clear, deep feeling of oneness with all that exists.","Jag har haft stora glädjestider där jag plötsligt hade en klar, djup känsla av enhet med allt som finns."
I know what I want to do in my life.,Jag vet vad jag vill göra i mitt liv.
I often cannot deal with problems because I just don't know what to do.,Jag kan ofta inte hantera problem eftersom jag bara inte vet vad jag ska göra.
I prefer spending money rather than saving it.,Jag föredrar att spendera pengar istället för att spara det.
"I have often been called an ""eager beaver"" because of my enthusiasm for hard work.","Jag har ofta kallats en ""ivrig bäver"" på grund av min entusiasm för hårt arbete."
"If I am embarrassed or humiliated, I get over it very quickly.","Om jag är generad eller förödmjukad, kommer jag snabbt över det."
I like to strive for bigger and better things.,Jag gillar att sträva efter större och bättre saker.
I usually demand very good practical reasons before I am willing to change my old ways of doing things.,Jag kräver vanligtvis mycket bra praktiska skäl innan jag är villig att ändra mina gamla sätt att göra saker.
"I nearly always stay relaxed and carefree, even when nearly everyone else is fearful.","Jag är nästan alltid avslappnad och sorglös, även när nästan alla andra är rädda."
I find sad songs and movies pretty boring.,Jag hittar tråkiga sånger och filmer ganska tråkiga.
Circumstances often force me to do things against my will.,Omständigheter tvingar mig ofta att göra saker mot min vilja.
I usually enjoy being mean to anyone who has been mean to me.,Jag brukar tycka att det är medelvärdet för alla som har varit meningsfullt för mig.
I often become so fascinated with what I'm doing that I get lost in the moment - like I'm detached from time and place.,Jag blir ofta så fascinerad av vad jag gör som jag går vilse i ögonblicket - som att jag är fristående från tid och plats.
I do not think I have a real sense of purpose for my life.,Jag tror inte att jag har en verklig känsla av syfte för mitt liv.
"I often feel tense and worried in unfamiliar situations, even when others feel there is no danger at all.","Jag känner mig ofta spänd och orolig i okända situationer, även när andra känner att det inte finns någon fara alls."
"I often follow my instincts, hunches, or intuition without thinking through all the details.","Jag följer ofta mina instinkter, hunches eller intuition utan att tänka igenom alla detaljer."
I love to excel at everything I do.,Jag älskar att excel på allt jag gör.
I often feel a strong spiritual or emotional connection with all the people around me.,Jag känner ofta en stark andlig eller känslomässig relation med alla människor runt mig.
"I usually try to imagine myself ""in other people\'s shoes"", so I can really understand them.","Jag brukar försöka föreställa mig ""i andres skor"", så jag kan verkligen förstå dem."
Principles like fairness and honesty have little role in some aspects of my life.,Principer som rättvisa och ärlighet har liten roll i vissa aspekter av mitt liv.
I am more hard-working than most people.,Jag är mer jobbig än de flesta.
"Even when most people feel it is not important, I often insist on things being done in a strict and orderly way.","Även när de flesta tycker att det inte är viktigt, insisterar jag ofta på att saker görs på ett strikt och ordnat sätt."
I feel very confident and sure of myself in almost all social situations.,Jag känner mig mycket säker och säker på mig själv i nästan alla sociala situationer.
My friends find it hard to know my feelings because I seldom tell them about my private thoughts.,Mina vänner tycker det är svårt att känna mina känslor eftersom jag sällan berättar om mina privata tankar.
I am good at communicating my feelings to others.,Jag är bra att kommunicera mina känslor med andra.
I am more energetic and tire less quickly than most people.,Jag är mer energisk och tröttnar mindre snabbt än de flesta.
"I often stop what I am doing because I get worried, even when my friends tell me every- thing will go well.","Jag slutar ofta vad jag gör för att jag är orolig, även när mina vänner säger att allting kommer att gå bra."
I often wish I was more powerful than everyone else.,Jag önskar ofta att jag var kraftfullare än alla andra.
Members of a team rarely get their fair share.,Medlemmar av ett lag får sällan sin rättvisa andel.
I don't go out of my way to please other people.,Jag går inte ut ur min väg för att behaga andra människor.
I am not shy with strangers at all.,Jag är inte blyg med främlingar alls.
I spend most of my time doing things that seem necessary but not really important to me.,Jag spenderar mest av min tid på att göra saker som verkar nödvändiga men inte riktigt viktiga för mig.
I don't think that religious or ethical principles about what is right and wrong should have much influence in business decisions.,Jag tror inte att religiösa eller etiska principer om vad som är rätt och fel ska ha stor inverkan i affärsbeslut.
I often try to put aside my own judgments so that I can better understand what other people are experiencing.,Jag försöker ofta lägga undan mina egna domar så att jag bättre kan förstå vad andra människor upplever.
Many of my habits make it hard for me to accomplish worthwhile goals.,Många av mina vanor gör det svårt för mig att uppnå värdefulla mål.
"I have made real personal sacrifices in order to make the world a better place -- like trying to prevent war, poverty and injustice.","Jag har gjort verkliga personliga offer för att göra världen till en bättre plats - som att försöka förhindra krig, fattigdom och orättvisa."
It takes me a long time to warm up to other people.,Det tar mig lång tid att värma upp till andra människor.
It gives me pleasure to see my enemies suffer.,Det gläder mig att se mina fiender lider.
"No matter how hard a job is, I like to get started quickly.","Oavsett hur svårt ett jobb är, gillar jag att komma igång snabbt."
It often seems to other people like I am in another world because I am so completely unaware of things going on around me.,Det verkar ofta som andra människor som att jag är i en annan värld eftersom jag är så fullständigt omedveten om saker som händer runt omkring mig.
I usually like to stay cool and detached from other people.,Jag brukar vilja vara sval och fritt från andra människor.
I am more likely to cry at a sad movie than most people.,Jag är mer benägna att gråta i en sorglig film än de flesta.
I recover more quickly than most people from minor illnesses or stress.,Jag återhämtar sig snabbare än de flesta från mindre sjukdomar eller stress.
I often feel like I am a part of the spiritual force on which all life depends.,Jag känner ofta att jag är en del av den andliga kraften som allt liv beror på.
I need much more practice in developing good habits before I will be able to trust myself in many tempting situations.,Jag behöver mycket mer träning i att utveckla goda vanor innan jag kommer att kunna lita på mig i många frestande situationer.
"Please click on ""Definitely False""; this is a validity item.","Vänligen klicka på ""Definitivt False""; Detta är ett giltighetsobjekt."
I like to make quick decisions so I can get on with what has to be done.,Jag gillar att fatta snabba beslut så att jag kan fortsätta med vad som måste göras.
I am usually confident that I can easily do things that most people would consider dangerous (such as driving an automobile fast on a wet or icy road).,Jag är vanligtvis säker på att jag lätt kan göra saker som de flesta skulle överväga farliga (som att köra bil snabbt på en våt eller isig väg).
I like to explore new ways to do things.,Jag gillar att utforska nya sätt att göra saker.
I enjoy saving money more than spending it on entertainment or thrills.,Jag gillar att spara pengar mer än att spendera det på underhållning eller spänning.
I have had personal experiences in which I felt in contact with a divine and wonderful spiritual power.,Jag har haft personliga erfarenheter där jag kände mig i kontakt med en gudomlig och underbar andlig kraft.
I have so many faults that I don't like myself very much.,Jag har så många fel som jag inte gillar så mycket själv.
Most people seem more resourceful than I am.,De flesta verkar mer resursfulla än jag är.
I often break rules and regulations when I think I can get away with it.,Jag bryter ofta regler och regler när jag tror att jag kan komma undan med det.
"Even when I am with friends, I prefer not to ""open up"" very much.","Även när jag är med vänner föredrar jag inte att ""öppna"" mycket."
The harder a job is the more I like it.,Ju svårare ett jobb är desto mer jag gillar det.
"Often when I look at an ordinary thing, something wonderful happens -- I get the feeling that I am seeing it fresh for the first time.",Ofta när jag tittar på en vanlig sak händer något underbart - jag känner att jag ser den fräsch för första gången.
I usually feel tense and worried when I have to do something new and unfamiliar.,Jag känner mig vanligtvis spänd och orolig när jag måste göra något nytt och okänt.
I am eager to start work on any assigned duty.,Jag är ivrig att börja arbeta med någon tilldelad tull.
"My will power is too weak to overcome very strong temptations, even if I know I will suffer as a consequence.","Min viljestyrka är för svag för att övervinna mycket starka frestelser, även om jag vet att jag kommer att drabbas av konsekvensen."
"If I am feeling upset, I usually feel better around friends than when left alone.",Om jag känner mig upprörd känner jag mig oftast bättre runt vänner än när jag är ensam.
I often accomplish more than people expect of me.,Jag uppnår ofta mer än vad folk förväntar mig.
Religious experiences have helped me understand the real purpose of my life.,Religiösa erfarenheter har hjälpt mig att förstå det verkliga syftet med mitt liv.
I usually push myself harder than most people do because I want to do as well as I possibly can.,Jag brukar trycka mig hårdare än de flesta gör för att jag vill göra så bra som möjligt.
"Please click on ""Definitely True"", this is a validity item.","Vänligen klicka på ""Definitivt True"", det här är ett giltighetsobjekt."
"I usually feel much more confident and energetic than most people, even after minor illnesses or stress.","Jag brukar känna mig mycket mer självsäker och energisk än de flesta, även efter mindre sjukdomar eller stress."
"When nothing new is happening, I usually start looking for something that is thrilling or exciting.",När inget nytt händer börjar jag brukar leta efter något som är spännande eller spännande.
I like to think about things for a long time before I make a decision.,Jag gillar att tänka på saker länge innan jag fattar ett beslut.
People involved with me have to learn how to do things my way.,Människor som är involverade i mig måste lära mig hur man gör saker på min väg.
I make a warm personal connection with most people.,Jag gör en varm personlig kontakt med de flesta.
I am often described as an overachiever.,Jag beskrivs ofta som en overachiever.
I would rather read a book than talk about my feelings with another person.,Jag skulle hellre läsa en bok än prata om mina känslor med en annan person.
I enjoy getting revenge on people who hurt me.,Jag tycker om att hämnas på människor som skadade mig.
"If something doesn't work as I expected, I am more likely to quit than to keep going for a long time.","Om något inte fungerar som jag förväntade mig, är det mer troligt att jag slutar än att fortsätta länge."
It is easy for other people to get close to me emotionally.,Det är lätt för andra att komma nära mig emotionellt.
"I would probably stay relaxed and outgoing when meeting a group of strangers, even if I were told they are unfriendly.","Jag skulle förmodligen stanna avslappnad och utåtriktad när jag träffade en grupp främlingar, även om jag fick höra att de är ovänliga."
"Please click on ""Mostly or Probably False""; this is a validity item.","Vänligen klicka på ""Mostly eller Probably False""; Detta är ett giltighetsobjekt."
I generally don't like people who have different ideas from mine.,Jag gillar i allmänhet inte människor som har olika idéer från mig.
I often drag my heels a while before starting any project.,Jag drar ofta mina klackar ett tag innan du påbörjar något projekt.
I can usually do a good job of stretching the truth to tell a funnier story or to play a joke on someone.,Jag kan vanligtvis göra ett bra jobb att sträcka sanningen för att berätta en roligare historia eller att spela ett skämt på någon.
"It is extremely difficult for me to adjust to changes in my usual way of doing things because I get so tense, tired, or worried.","Det är extremt svårt för mig att anpassa sig till förändringar i mitt vanliga sätt att göra saker eftersom jag blir så spänd, trött eller orolig."
I am more of a perfectionist than most people.,Jag är mer perfektionist än de flesta.
Other people often think that I am too independent because I won't do what they want.,Andra människor tycker ofta att jag är för självständig eftersom jag inte gör vad de vill ha.
I am better at saving money than most people.,Jag är bättre att spara pengar än de flesta.
I often give up on a job if it takes much longer than I thought it would.,Jag ger ofta upp ett jobb om det tar mycket längre tid än jag trodde det skulle.
Whether something is right or wrong is just a matter of opinion.,Om något är rätt eller fel är bara en fråga om åsikt.
I often learn a lot from people.,Jag lär mig ofta mycket av människor.
I believe that all life depends on some spiritual order or power that cannot be completely explained.,Jag tror att allt liv beror på en andlig ordning eller kraft som inte helt kan förklaras.
Things often go wrong for me unless I am very careful.,Saker går ofta fel för mig om jag inte är mycket försiktig.
I am slower than most people to get excited about new ideas and activities.,Jag är långsammare än de flesta att bli glada över nya idéer och aktiviteter.
"I could probably accomplish more than I do, but I don't see the point in pushing myself harder than is necessary to get by.","Jag skulle nog kunna utföra mer än jag gör, men jag ser inte på att jag trycker mig hårdare än vad jag behöver för att klara mig."
"I usually stay away from social situations where I would have to meet strangers, even if I am assured that they will be friendly.","Jag brukar hålla sig borta från sociala situationer där jag skulle behöva träffa främlingar, även om jag är säker på att de kommer att vara vänliga."
I often feel so connected to the people around me that it is like there is no separation between us.,Jag känner mig ofta så kopplad till folket omkring mig att det är som att det inte finns någon separation mellan oss.
In most situations my natural responses are based on good habits that I have developed.,I de flesta fall är mina naturliga svar baserade på goda vanor som jag har utvecklat.
I often have to stop what I am doing because I start worrying about what might go wrong.,Jag måste ofta stoppa vad jag gör för att jag börjar oroa mig för vad som kan gå fel.
"I am often called ""absent-minded"" because I get so wrapped up in what I am doing that I lose track of everything else.","Jag kallas ofta ""absent-minded"" eftersom jag blir så invecklad i vad jag gör som jag förlorar allting annat."
I often consider another person's feelings as much as my own.,Jag överväger ofta en andras känslor lika mycket som min egen.
I am often described as an underachiever.,Jag beskrivs ofta som en underkämpare.
Most of the time I would prefer to do some- thing a little risky (like riding in a automobile over steep hills and sharp turns) -- rather than having to stay quiet and inactive for a few hours.,För det mesta föredrar jag att göra lite lite riskabelt (som att åka bil i branta backar och vassa svängar) - snarare än att stanna tyst och inaktiv i några timmar.
Some people think I am too stingy or tight with my money.,Vissa tror att jag är för snål eller stram med mina pengar.
"I like old ""tried and true"" ways of doing things much better than trying ""new and improved"" ways.","Jag gillar gamla ""provade och sanna"" sätt att göra saker mycket bättre än att försöka ""nya och förbättrade"" sätt."
I often do things to help protect animals and plants from extinction.,Jag gör ofta saker för att skydda djur och växter från utrotning.
I often push myself to the point of exhaustion or try to do more than I really can.,Jag driver mig ofta till utmattningspunkten eller försöker göra mer än jag verkligen kan.
I am not very good at talking my way out of trouble when I am caught doing something wrong.,Jag är inte så snäll att prata ut ur problem när jag är fångad gör något fel.
Repeated practice has given me good habits that are stronger than most momentary impulses or persuasion.,Upprepad övning har gett mig goda vanor som är starkare än de flesta momenta impulser eller övertalning.
I think I will have very good luck in the future.,Jag tror att jag kommer ha stor lycka i framtiden.
"I open up quickly to other people, even if I don't know them well.","Jag öppnar mig snabbt för andra människor, även om jag inte känner dem väl."
"When I fail to master something at first, it becomes my personal challenge to succeed.",När jag misslyckas med att behärska något i början blir det min personliga utmaning att lyckas.
You don't have to be dishonest to succeed in business.,Du behöver inte vara oärlig för att lyckas i affärer.
In conversations I am much better as a listener than as a talker.,I samtal är jag mycket bättre som en lyssnare än som en talare.
I would not be happy in a job where I did not communicate with other people.,Jag skulle inte vara glad i ett jobb där jag inte kommunicerade med andra människor.
My attitudes are determined largely by influences outside my control.,Mina attityder bestäms till stor del av influenser utanför min kontroll.
I often wish I was stronger than everyone else.,Jag önskar ofta att jag var starkare än alla andra.
I often need naps or extra rest periods because I get tired so easily.,Jag behöver ofta lurar eller extra viloperioder eftersom jag blir trött så lätt.
"I have trouble telling a lie, even when it is meant to spare someone else's feelings.","Jag har problem med att berätta en lögn, även när det är meningen att undvika andras känslor."
"Regardless of any temporary problem that I have to overcome, I always think it will turn out well.",Oavsett vilket tillfälligt problem som jag måste övervinna tror jag alltid att det kommer att bli bra.
"It is hard for me to enjoy spending money on myself, even when I have saved plenty of money.","Det är svårt för mig att njuta av att spendera pengar på mig själv, även när jag har sparat mycket pengar."
I often do my best work under difficult circumstances.,Jag gör ofta mitt bästa arbete under svåra omständigheter.
I like to keep my problems to myself.,Jag gillar att hålla mina problem för mig själv.
I have a vivid imagination.,Jag har en levande fantasi.
I like to stay at home better than to travel or explore new places.,Jag gillar att stanna hemma bättre än att resa eller utforska nya platser.
Warm friendships with other people are very important to me.,Varma vänskap med andra människor är väldigt viktigt för mig.
I often wish I could stay young forever.,Jag önskar ofta att jag kunde stanna ung för alltid.
I like to read everything when I am asked to sign any papers.,Jag gillar att läsa allt när jag blir ombedd att underteckna några papper.
"I think I would stay confident and relaxed when meeting strangers, even if I were told they are angry at me.","Jag tror att jag skulle vara säker och avslappnad när jag träffade främlingar, även om jag fick veta att de är arg på mig."
I feel it is more important to be sympathetic and understanding of other people than to be practical and tough-minded.,Jag tycker att det är viktigare att vara sympatisk och förstå andra än att vara praktisk och tuff.
I often wish I had special powers like Superman.,Jag önskar ofta att jag hade speciella krafter som Superman.
I like to share what I have learned with other people.,Jag gillar att dela med mig vad jag har lärt mig med andra människor.
I usually look at a difficult situation as a challenge or opportunity.,Jag brukar titta på en svår situation som en utmaning eller möjlighet.
"Most people I know look out only for themselves, no matter who else gets hurt.","De flesta jag känner ser bara ut för sig själv, oavsett vem som annars blir skadad."
"I need much extra rest, support, or reassurance to recover from minor illnesses.","Jag behöver mycket extra vila, stöd eller försäkran att återhämta sig från mindre sjukdomar."
I know there are principles for living that no one can violate without suffering in the long run.,Jag vet att det finns principer för att leva som ingen kan bryta mot utan att lida på lång sikt.
I don't want to be richer than everyone else.,Jag vill inte vara rikare än alla andra.
"I like to go slow in starting work, even if it is easy to do.","Jag gillar att gå långsamt i att börja jobba, även om det är lätt att göra."
I would gladly risk my own life to make the world a better place.,Jag skulle gärna riskera mitt eget liv för att göra världen till en bättre plats.
"When my work goes unnoticed, I become even more determined to succeed.",När mitt arbete går obemärkt blir jag ännu mer bestämd att lyckas.
I often wish I could stop the passage of time.,Jag önskar ofta att jag kunde stoppa tiden.
I hate to make decisions based only on my first impressions.,Jag hatar att fatta beslut baserade bara på mitt första intryck.
I would rather be alone than deal with other people's problems.,Jag skulle hellre vara ensam än att hantera andras problem.
I don't want to be more admired than everyone else.,Jag vill inte bli mer beundrad än alla andra.
I need a lot of help from other people to train me to have good habits.,Jag behöver mycket hjälp från andra människor för att träna mig för att ha goda vanor.
I like to do a job quickly and then volunteer for more.,Jag gillar att jobba snabbt och sedan frivilligt för mer.
It is hard for me to tolerate people who are different from me.,Det är svårt för mig att tolerera människor som skiljer sig från mig.
I would rather be kind than to get revenge when someone hurts me.,Jag skulle hellre vara snäll än att hämnas när någon gör ont på mig.
I really enjoy keeping busy.,Jag gillar verkligen att vara upptagen.
I try to cooperate with others as much as possible.,Jag försöker att samarbeta med andra så mycket som möjligt.
I am often successful because of my ambition and hard work.,Jag är ofta framgångsrik på grund av min ambition och hårt arbete.
It is usually easy for me to like people who have different values from me.,Det är vanligtvis lätt för mig att tycka om människor som har olika värden från mig.
"Good habits have become ""second nature"" to me -- they are automatic and spontaneous actions nearly all the time.","Goda vanor har blivit ""andra natur"" för mig - de är automatiska och spontana handlingar nästan hela tiden."
"I hate to change the way I do things, even if many people tell me there is a new and better way to do it.","Jag hatar att ändra hur jag gör saker, även om många säger att det finns ett nytt och bättre sätt att göra det."
I think it is unwise to believe in things that cannot be explained scientifically.,Jag tycker att det är oklokt att tro på saker som inte kan förklaras vetenskapligt.
I am willing to make many sacrifices to be a success.,Jag är villig att göra många offer för att bli en framgång.
I like to imagine my enemies suffering.,Jag kan tänka mig att mina fiender lider.
"Please click on ""Neither True nor False, or About Equally True or False""; this is a validity question.","Vänligen klicka på ""Varken Sann eller Falsk, Eller Om Lika Sann eller Falsk""; Detta är en giltighetsfråga."
I like to pay close attention to details in everything I do.,Jag gillar att ägna stor uppmärksamhet åt detaljer i allt jag gör.
I usually am free to choose what I will do.,Jag brukar vara fri att välja vad jag ska göra.
Often I become so involved in what I am doing that I forget where I am for a while.,Ofta blir jag så delaktig i vad jag gör som jag glömde var jag är ett tag.
I like other people to know that I really care about them.,Jag gillar andra människor att veta att jag bryr mig verkligen om dem.
Most of the time I would prefer to do something risky (like hang-gliding or parachute jumping) -- rather than having to stay quiet and inactive for a few hours.,För det mesta föredrar jag att göra något riskabelt (som glidflygning eller fallskärmshoppning) - snarare än att behöva stanna tyst och inaktiv i några timmar.
"Because I so often spend too much money on impulse, it is hard for me to save money -- even for special plans like a vacation.","Eftersom jag så ofta spenderar för mycket pengar på impulser, är det svårt för mig att spara pengar - även för speciella planer som semester."
I often give in to the wishes of friends.,Jag ger ofta in efter vännernas önskemål.
I never worry about terrible things that might happen in the future.,Jag oroar mig aldrig för hemska saker som kan hända i framtiden.
"People find it easy to come to me for help, sympathy, and warm understanding.","Människor tycker det är lätt att komma till mig för hjälp, sympati och varm förståelse."
Most of the time I quickly forgive anyone who does me wrong.,För det mesta förlåtar jag snabbt någon som gör mig fel.
I think my natural responses now are usually consistent with my principles and long-term goals.,Jag tror att mina naturliga svar nu vanligtvis överensstämmer med mina principer och långsiktiga mål.
I prefer to wait for someone else to take the lead in getting things done.,Jag föredrar att vänta på att någon annan ska ta ledningen för att få saker gjorda.
It is fun for me to buy things for myself.,Det är roligt för mig att köpa saker för mig själv.
I have had experiences that made my role in life so clear to me that I felt very excited and happy.,Jag har haft erfarenheter som gjorde min roll i livet så tydlig för mig att jag kände mig väldigt upphetsad och glad.
I usually respect the opinions of others.,Jag respekterar vanligtvis andras åsikter.
My behavior is strongly guided by certain goals that I have set for my life.,Mitt beteende styrs starkt av vissa mål som jag har ställt för mitt liv.
It is usually foolish to promote the success of other people.,Det är vanligtvis dumt att främja andra människors framgång.
I often wish I could live forever.,Jag önskar ofta att jag kunde leva för alltid.
"When someone points out my mistakes, I work extra hard to correct them.",När någon påpekar mina misstag jobbar jag extra hårt för att rätta till dem.
I won't give up what I am doing just because of a long run of unexpected failures.,Jag kommer inte ge upp vad jag gör bara på grund av en lång period av oväntade misslyckanden.
I usually have good luck in whatever I try to do.,Jag brukar ha lycka till vad jag försöker göra.
I wish I were better looking than everyone else.,Jag önskar att jag var snyggare än alla andra.
Reports of mystical experiences are probably just wishful thinking.,Rapporter av mystiska upplevelser är förmodligen bara önsketänkande.
Individual rights are more important than the needs of any group.,Individuella rättigheter är viktigare än någon grupps behov.
Dishonesty only causes problems if you get caught.,Oärlighet orsakar bara problem om du fångas.
Good habits make it easier for me to do things the way I want.,Goda vanor gör det lättare för mig att göra saker som jag vill.
Other people and conditions are often to blame for my problems.,Andra människor och villkor är ofta skyldiga för mina problem.
"I usually can stay ""on the go"" all day without having to push myself.","Jag brukar stanna ""på farten"" hela dagen utan att behöva trycka mig själv."
I want to be the best at everything I do.,Jag vill vara bäst på allt jag gör.
"I nearly always think about all the facts in detail before I make a decision, even when other people demand a quick decision.","Jag tänker nästan alltid på alla fakta i detalj innan jag fattar ett beslut, även om andra människor kräver ett snabbt beslut."
I am quick to volunteer when there is something to be done.,Jag är snabb att frivilligt när det finns något att göra.
